epoch,accuracy,loss,val_accuracy,val_loss
0,0.28875962,1.8183914418878084,0.35748118,1.683976513989359
1,0.34971613,1.663687314304207,0.42490944,1.5002826877409583
2,0.38674283,1.583777378796244,0.42588463,1.5390277541955888
3,0.4178829,1.5080160712069688,0.45444414,1.4643215416334041
4,0.44034973,1.4541003412743456,0.4742268,1.3454869539832697
5,0.45591974,1.4244470133951346,0.4952633,1.3198960722572262
6,0.46521997,1.3948940222504753,0.47353023,1.44847007175115
7,0.4759483,1.3742046675349382,0.5161605,1.2651050588353228
8,0.48409906,1.3578090484233074,0.515046,1.286035036768346
9,0.49113518,1.3382657432494698,0.52897745,1.2320589585435793
